Autor,Pieza,Gen,Subg,Jornada,Parlamento,Verso,Personaje,Tipo,Sexo,Texto
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,127,NOCHE,,X,"Escuchad, que el argumento"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,128,NOCHE,,X,os quiero poner presente
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,129,NOCHE,,X,"de toda la fiesta, a ver"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,130,NOCHE,,X,"lo que la fiesta os parece,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,131,NOCHE,,X,que esto hizo la Antigüedad
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,132,NOCHE,,X,en sus fiestas muchas veces.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,133,NOCHE,,X,"Escuchad, pues, su argumento"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,39,134,NOCHE,,X,antes que se represente.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,0,-3,ACOTACIÓN,,ø,Salen en el teatro de en medio Jasón y Teseo teniendo a Hércules.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,40,135,HÉRCULES,,X,Dejadme dar la muerte.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,41,136,JASÓN,,X,Repara.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,42,136,TESEO,,XM,Considera.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,43,136,JASÓN,,XMMX,Mira.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,44,136,TESEO,,XMMXXM,Advierte.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,137,HÉRCULES,,X,"Dejad que mi despecho,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,138,HÉRCULES,,X,"en ira, en rabia y en furor deshecho,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,139,HÉRCULES,,X,"con los dientes, las manos y los brazos,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,140,HÉRCULES,,X,"el corazón sacándome a pedazos,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,141,HÉRCULES,,X,hoy la vida me quite
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,142,HÉRCULES,,X,"o que al mar desde aquí me precipite,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,143,HÉRCULES,,X,porque a tanta estatura
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,45,144,HÉRCULES,,X,solo el mar es bastante sepultura.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,145,TESEO,,M,"Hércules valeroso,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,146,TESEO,,M,"tú, que siempre soberbio y animoso"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,147,TESEO,,M,con heroicas vitorias
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,148,TESEO,,M,"tu fama has ilustrado de memorias,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,149,TESEO,,M,¿hablas tan impaciente
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,46,150,TESEO,,M,rendido a ningún trágico acidente?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,151,JASÓN,,X,"Tú, que tantas fatigas padeciste"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,152,JASÓN,,X,"con que eternos aplausos conseguiste,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,153,JASÓN,,X,cuyo nombre jamás será escondido
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,154,JASÓN,,X,"de las borradas señas del olvido,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,155,JASÓN,,X,¿hoy te muestras sin seso
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,47,156,JASÓN,,X,rendido a ningún trágico suceso?
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,157,TESEO,,M,La muerte quieres darte;
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,158,TESEO,,M,"no debes, no, sin duda de acordarte"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,159,TESEO,,M,que en leyes de valor y bizarría
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,160,TESEO,,M,"la desesperación no es valentía,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,161,TESEO,,M,"pues la mayor, más grande y la más fuerte"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,48,162,TESEO,,M,"es esperar, mas no buscar la muerte."
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,49,163,JASÓN,,X,"Si tú a tu misma rabia te condenas,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,49,164,JASÓN,,X,aqueso es permitirles a las penas
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,49,165,JASÓN,,X,"que salgan con su intento,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,49,166,JASÓN,,X,y aquel varón magnánimo que atento
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,49,167,JASÓN,,X,vive a hacer sus trofeos inmortales
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,49,168,JASÓN,,X,ha de vivir a costa de sus males.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,50,169,HÉRCULES,,X,"Es engaño, que un hombre"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,50,170,HÉRCULES,,X,"no puede mayor fama, mayor nombre"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,50,171,HÉRCULES,,X,adquirir que mostrando desta suerte
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,50,172,HÉRCULES,,X,"que se puso de parte de su muerte,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,50,173,HÉRCULES,,X,"para que ella a matarle se atreviera,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,50,174,HÉRCULES,,X,que a mí sin mí mi muerte me temiera.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,51,175,JASÓN,,X,La grande causa dudo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,51,176,JASÓN,,X,que a ese despecho avasallarte pudo.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,52,177,TESEO,,M,Que haya ocasión no creo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,52,178,TESEO,,M,para tanto furor.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,178,HÉRCULES,,MX,"¡Ay, gran Teseo!"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,179,HÉRCULES,,X,"¡Ay, gran Jasón!, cuyos valientes bríos"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,180,HÉRCULES,,X,"bien acredita el ser amigos míos,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,181,HÉRCULES,,X,"y ¡ay, amigos leales!,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,182,HÉRCULES,,X,hoy se ha llenado el número a mis males;
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,183,HÉRCULES,,X,"si la causa supiérades que tengo,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,184,HÉRCULES,,X,la desesperación a que prevengo
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,185,HÉRCULES,,X,mi valor y mi vida
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,186,HÉRCULES,,X,"de los dos no estorbada, persuadida"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,53,187,HÉRCULES,,X,fuera.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,54,187,JASÓN,,X,Ya que has llamado
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,54,188,JASÓN,,X,"amigos a los dos, de tu cuidado"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,54,189,JASÓN,,X,haz a los dos testigos.
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,190,HÉRCULES,,X,"Es tal que aun embarazan los amigos,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,191,HÉRCULES,,X,"mas, pues los tres en tantas ocasiones"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,192,HÉRCULES,,X,"tres almas, vidas tres, tres corazones"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,193,HÉRCULES,,X,en solo uno fundimos
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,194,HÉRCULES,,X,"y con uno no más los tres vivimos,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,195,HÉRCULES,,X,atentos escuchad mis instrumentos
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,196,HÉRCULES,,X,(mas no los escuchéis ni estéis atentos).
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,197,HÉRCULES,,X,Ya sabéis que soy aquel
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,198,HÉRCULES,,X,racional monstruo valiente
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,199,HÉRCULES,,X,que ha coronado a su fama
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,200,HÉRCULES,,X,"de plumas y de laureles,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,201,HÉRCULES,,X,tan hecho siempre a vencer
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,202,HÉRCULES,,X,y a matar tan hecho siempre
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,203,HÉRCULES,,X,que apenas supe mi vida
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,204,HÉRCULES,,X,cuando supieron su muerte:
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,205,HÉRCULES,,X,díganlo a voces las fieras;
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,206,HÉRCULES,,X,"la fama, el tiempo lo cuente;"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,207,HÉRCULES,,X,"la memoria lo repita,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,208,HÉRCULES,,X,pues en el primero albergue
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,209,HÉRCULES,,X,"de mi cuna a dos sedientas,"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,210,HÉRCULES,,X,"dos tiranas, dos aleves"
Calderón,Loa para la comedia de Los tres mayores prodigios,Loa,ø,0,55,211,HÉRCULES,,X,"víboras, que de mi sangre"
