Source,Target,Weight,Type
Gongora_Apeóse el caballero,Gongora_Esperando están la rosa,56,undirected
Gongora_Apeóse el caballero,Gongora_Famosos son, en las armas,22,undirected
Gongora_Apeóse el caballero,Gongora_Frescos airecillos,99,undirected
Gongora_Apeóse el caballero,Gongora_Guarda corderos, zagala,34,undirected
Gongora_Apeóse el caballero,Gongora_Hermana Marica,1,undirected
Gongora_Apeóse el caballero,Gongora_La ciudad de Babilonia,12,undirected
Gongora_Apeóse el caballero,Gongora_Las flores del romero,48,undirected
Gongora_Apeóse el caballero,Gongora_Levantando blanca espuma,64,undirected
Gongora_Apeóse el caballero,Gongora_Lloraba la niña,94,undirected
Gongora_Apeóse el caballero,Gongora_Los montes que el pie se lavan,118,undirected
Gongora_Apeóse el caballero,Gongora_Minguilla la siempre bella,2,undirected
Gongora_Apeóse el caballero,Gongora_Moriste, ninfa bella,218,undirected
Gongora_Apeóse el caballero,Gongora_Triste pisa, y afligido,9,undirected
Gongora_Aquel rayo de la guerra,Gongora_¿No me bastaba el peligro...?,39,undirected
Gongora_Aquel rayo de la guerra,Gongora_A un tiempo dejaba el sol,29,undirected
Gongora_Aquel rayo de la guerra,Gongora_Al pie de un álamo negro,1,undirected
Gongora_Aquel rayo de la guerra,Gongora_Crïábase el Albanés,2,undirected
Gongora_Aquel rayo de la guerra,Gongora_En dos lucientes estrellas,1,undirected
Gongora_Aquel rayo de la guerra,Gongora_En la pedregosa orilla,5,undirected
Gongora_Aquel rayo de la guerra,Gongora_En un pastoral albergue,21,undirected
Gongora_Aquel rayo de la guerra,Gongora_Ensíllenme el asno rucio,50,undirected
Gongora_Aquel rayo de la guerra,Gongora_Entre los sueltos caballos,247,undirected
Gongora_Aquel rayo de la guerra,Gongora_Érase una vieja,239,undirected
Gongora_Aquel rayo de la guerra,Gongora_Famosos son, en las armas,39,undirected
Gongora_Aquel rayo de la guerra,Gongora_Hermana Marica,3,undirected
Gongora_Aquel rayo de la guerra,Gongora_Los montes que el pie se lavan,11,undirected
Gongora_Aquel rayo de la guerra,Gongora_Murmuraban los rocines,33,undirected
Gongora_Aquel rayo de la guerra,Gongora_Servía en Orán al rey,41,undirected
Gongora_Aquel rayo de la guerra,Gongora_Tendiendo sus blancos paños,163,undirected
Gongora_Aquel rayo de la guerra,Gongora_Todo se murmura,4,undirected
Gongora_Aquel rayo de la guerra,Gongora_Triste pisa, y afligido,465,undirected
Gongora_Aquí entre la verde juncia,Gongora_¿Callaré la pena mía...?,31,undirected
Gongora_Aquí entre la verde juncia,Gongora_¿No me bastaba el peligro...?,85,undirected
Gongora_Aquí entre la verde juncia,Gongora_Amarrado al duro banco,14,undirected
Gongora_Aquí entre la verde juncia,Gongora_Apeóse el caballero,1,undirected
Gongora_Aquí entre la verde juncia,Gongora_Castillo de San Cervantes,125,undirected
Gongora_Aquí entre la verde juncia,Gongora_Dejad los libros ahora,45,undirected
Gongora_Aquí entre la verde juncia,Gongora_En tanto que mis vacas,147,undirected
Gongora_Aquí entre la verde juncia,Gongora_En un pastoral albergue,62,undirected
Gongora_Aquí entre la verde juncia,Gongora_Ensíllenme el asno rucio,34,undirected
Gongora_Aquí entre la verde juncia,Gongora_Famosos son, en las armas,82,undirected
Gongora_Aquí entre la verde juncia,Gongora_Frescos airecillos,1,undirected
Gongora_Aquí entre la verde juncia,Gongora_La desgracia del forzado,70,undirected
Gongora_Aquí entre la verde juncia,Gongora_Nace el niño y, velo a velo,13,undirected
Gongora_Aquí entre la verde juncia,Gongora_No vengo a pedir silencio,30,undirected
Gongora_Aquí entre la verde juncia,Gongora_Noble desengaño,12,undirected
Gongora_Aquí entre la verde juncia,Gongora_Por las faldas del Atlante,102,undirected
Gongora_Aquí entre la verde juncia,Gongora_Sobre unas altas rocas,5,undirected
Gongora_Arrojóse el mancebito,Gongora_Aunque entiendo poco griego,241,undirected
